"inst","w","var","inc","feas","fixed_solved","fixed_time","flex_solved","flex_time"
192,5,2,20,TRUE,TRUE,0.787,TRUE,11.675
193,5,2,20,TRUE,TRUE,1.147,TRUE,35.616
196,5,2,20,TRUE,TRUE,1.01,TRUE,17.922
199,5,2,20,TRUE,TRUE,0.522,TRUE,2.06
204,5,2,20,TRUE,TRUE,0.942,TRUE,42.09
206,5,2,20,TRUE,TRUE,0.626,TRUE,18.544
208,5,2,20,TRUE,TRUE,0.959,TRUE,19.994
210,5,2,20,TRUE,TRUE,0.653,TRUE,9.784
211,5,2,20,FALSE,TRUE,16.281,TRUE,45.803
212,5,2,20,TRUE,TRUE,0.412,TRUE,5.488
213,5,2,20,TRUE,TRUE,0.6,TRUE,37.449
214,5,2,20,TRUE,TRUE,0.536,TRUE,91.764
215,5,2,20,TRUE,TRUE,0.638,TRUE,3.426
266,5,2,20,TRUE,TRUE,0.849,TRUE,1.523
272,5,2,20,TRUE,TRUE,0.711,TRUE,2.055
273,5,2,20,TRUE,TRUE,1.288,TRUE,3.159
275,5,2,20,TRUE,TRUE,0.619,TRUE,1.92
280,5,2,20,TRUE,TRUE,0.515,TRUE,5.417
283,5,2,20,TRUE,TRUE,0.467,TRUE,1.493
284,5,2,20,TRUE,TRUE,1.857,TRUE,6.38
285,5,2,20,TRUE,TRUE,0.506,TRUE,2.256
286,5,2,20,TRUE,TRUE,2.256,TRUE,8.424
287,5,2,20,TRUE,TRUE,1.812,TRUE,1.615
289,5,2,20,TRUE,TRUE,0.425,TRUE,1.504
290,5,2,20,TRUE,TRUE,0.54,TRUE,3.653
346,5,2,20,FALSE,TRUE,3.656,TRUE,8.38
348,5,2,20,TRUE,TRUE,1.108,TRUE,8.762
349,5,2,20,TRUE,TRUE,2.503,TRUE,16.127
350,5,2,20,TRUE,TRUE,0.565,TRUE,8.482
351,5,2,20,TRUE,TRUE,0.557,TRUE,10.02
355,5,2,20,TRUE,TRUE,1.015,TRUE,8.891
356,5,2,20,TRUE,TRUE,0.705,TRUE,6.364
357,5,2,20,TRUE,TRUE,0.561,TRUE,21.609
361,5,2,20,TRUE,TRUE,1.077,FALSE,120.012
362,5,2,20,TRUE,TRUE,0.412,TRUE,9.34
365,5,2,20,TRUE,TRUE,2.09,TRUE,4.696
417,5,2,20,TRUE,TRUE,0.484,TRUE,4.236
42,5,2,20,TRUE,TRUE,0.76,TRUE,5.034
420,5,2,20,TRUE,TRUE,0.775,TRUE,3.035
424,5,2,20,TRUE,TRUE,2.727,TRUE,4.213
426,5,2,20,TRUE,TRUE,0.704,TRUE,0.969
428,5,2,20,TRUE,TRUE,0.765,TRUE,2.082
43,5,2,20,FALSE,TRUE,2.33,TRUE,19.146
430,5,2,20,TRUE,TRUE,0.493,TRUE,2.524
432,5,2,20,TRUE,TRUE,0.407,TRUE,2.991
433,5,2,20,TRUE,TRUE,0.688,TRUE,3.826
434,5,2,20,TRUE,TRUE,2.102,TRUE,3.911
436,5,2,20,TRUE,TRUE,5.575,TRUE,7.081
437,5,2,20,TRUE,TRUE,0.695,TRUE,4.003
439,5,2,20,TRUE,TRUE,0.961,TRUE,2.963
44,5,2,20,FALSE,TRUE,1.291,FALSE,120.015
440,5,2,20,TRUE,TRUE,1.613,TRUE,4.42
48,5,2,20,FALSE,TRUE,1.338,TRUE,14.47
492,5,2,20,TRUE,TRUE,1.268,TRUE,1.599
493,5,2,20,TRUE,TRUE,0.758,TRUE,0.581
496,5,2,20,TRUE,TRUE,2.249,TRUE,1.529
499,5,2,20,TRUE,TRUE,1.757,TRUE,6.135
501,5,2,20,TRUE,TRUE,0.668,TRUE,2.271
506,5,2,20,TRUE,TRUE,0.415,TRUE,3.942
507,5,2,20,TRUE,TRUE,3.506,TRUE,0.97
508,5,2,20,TRUE,TRUE,0.727,TRUE,0.833
510,5,2,20,FALSE,TRUE,2.09,TRUE,3.518
511,5,2,20,TRUE,TRUE,0.602,TRUE,5.447
512,5,2,20,TRUE,TRUE,0.438,TRUE,0.561
513,5,2,20,FALSE,TRUE,2.707,TRUE,6.639
514,5,2,20,TRUE,TRUE,0.856,TRUE,0.994
53,5,2,20,TRUE,TRUE,0.789,TRUE,70.016
54,5,2,20,TRUE,TRUE,0.295,TRUE,3.717
55,5,2,20,TRUE,TRUE,3.064,TRUE,110.503
58,5,2,20,TRUE,TRUE,1.315,TRUE,1.865
62,5,2,20,TRUE,TRUE,0.315,TRUE,9.119
63,5,2,20,TRUE,TRUE,0.407,TRUE,1.041
64,5,2,20,TRUE,TRUE,0.797,TRUE,57.884
65,5,2,20,TRUE,TRUE,2.611,TRUE,14.928
116,5,5,10,TRUE,TRUE,9.995,FALSE,120.018
117,5,5,10,TRUE,TRUE,3.404,TRUE,36.08
118,5,5,10,TRUE,TRUE,4.91,FALSE,120.015
121,5,5,10,TRUE,TRUE,2.74,TRUE,95.414
123,5,5,10,TRUE,TRUE,4.681,FALSE,120.018
124,5,5,10,TRUE,TRUE,5.761,TRUE,104.636
125,5,5,10,TRUE,TRUE,5.751,TRUE,74.64
126,5,5,10,TRUE,TRUE,2.568,FALSE,120.019
128,5,5,10,TRUE,TRUE,2.275,TRUE,109.251
129,5,5,10,TRUE,TRUE,4.939,TRUE,89.164
133,5,5,10,TRUE,TRUE,5.506,TRUE,69.351
137,5,5,10,TRUE,TRUE,4.68,TRUE,113.932
138,5,5,10,TRUE,TRUE,3.092,FALSE,120.013
139,5,5,10,TRUE,TRUE,2.786,TRUE,21.056
140,5,5,10,TRUE,TRUE,3.318,TRUE,79.591
192,5,5,10,TRUE,TRUE,16.054,FALSE,120.015
193,5,5,10,TRUE,TRUE,3.519,TRUE,82.866
196,5,5,10,TRUE,TRUE,44.196,FALSE,120.012
199,5,5,10,TRUE,TRUE,4.405,TRUE,68.743
204,5,5,10,TRUE,TRUE,16.208,FALSE,120.019
206,5,5,10,TRUE,TRUE,14.162,FALSE,120.016
208,5,5,10,TRUE,TRUE,3.341,TRUE,105.373
210,5,5,10,TRUE,TRUE,5.647,FALSE,120.019
211,5,5,10,TRUE,TRUE,8.957,FALSE,120.016
212,5,5,10,TRUE,TRUE,12.456,FALSE,120.013
213,5,5,10,TRUE,TRUE,10.518,TRUE,94.684
214,5,5,10,TRUE,TRUE,20.561,FALSE,120.012
215,5,5,10,TRUE,TRUE,3.39,TRUE,30.753
266,5,5,10,TRUE,TRUE,3.514,TRUE,109.905
272,5,5,10,TRUE,TRUE,1.016,TRUE,20.566
273,5,5,10,TRUE,TRUE,1.798,TRUE,18.645
275,5,5,10,TRUE,TRUE,0.534,TRUE,1.353
280,5,5,10,TRUE,TRUE,2.936,TRUE,51.924
283,5,5,10,TRUE,TRUE,3.637,TRUE,19.84
284,5,5,10,TRUE,TRUE,4.722,FALSE,120.02
285,5,5,10,TRUE,TRUE,3.274,TRUE,23.969
286,5,5,10,TRUE,TRUE,0.802,TRUE,44.095
287,5,5,10,TRUE,TRUE,3.442,FALSE,120.019
289,5,5,10,TRUE,TRUE,1.821,TRUE,11.361
290,5,5,10,TRUE,TRUE,3.518,TRUE,49.425
346,5,5,10,TRUE,TRUE,18.399,FALSE,120.012
348,5,5,10,TRUE,TRUE,5.146,FALSE,120.021
349,5,5,10,TRUE,TRUE,5.355,TRUE,42.979
350,5,5,10,TRUE,TRUE,5.874,TRUE,87.075
351,5,5,10,TRUE,TRUE,9.33,FALSE,120.014
355,5,5,10,TRUE,TRUE,2.472,TRUE,66.134
356,5,5,10,TRUE,TRUE,18.42,FALSE,120.014
357,5,5,10,TRUE,TRUE,7.961,FALSE,120.014
361,5,5,10,TRUE,TRUE,2.702,TRUE,62.895
362,5,5,10,TRUE,TRUE,24.467,FALSE,120.015
365,5,5,10,TRUE,TRUE,19.106,FALSE,120.018
417,5,5,10,TRUE,TRUE,2.066,TRUE,63.242
42,5,5,10,TRUE,TRUE,31.088,FALSE,120.012
420,5,5,10,TRUE,TRUE,2.692,TRUE,10.842
424,5,5,10,TRUE,TRUE,0.619,TRUE,10.312
426,5,5,10,TRUE,TRUE,0.744,TRUE,27.992
428,5,5,10,TRUE,TRUE,3.697,FALSE,120.017
43,5,5,10,TRUE,TRUE,3.303,TRUE,49.042
430,5,5,10,TRUE,TRUE,4.838,FALSE,120.023
432,5,5,10,TRUE,TRUE,2.595,TRUE,57.595
433,5,5,10,TRUE,TRUE,2.757,TRUE,41.749
434,5,5,10,TRUE,TRUE,0.721,TRUE,39.789
436,5,5,10,TRUE,TRUE,6.795,FALSE,120.036
437,5,5,10,TRUE,TRUE,5.724,FALSE,120.021
439,5,5,10,TRUE,TRUE,5.385,TRUE,71.239
44,5,5,10,TRUE,TRUE,2.653,TRUE,107.201
440,5,5,10,TRUE,TRUE,0.766,TRUE,5.16
48,5,5,10,TRUE,TRUE,6.725,FALSE,120.021
492,5,5,10,TRUE,TRUE,0.523,TRUE,20.462
493,5,5,10,TRUE,TRUE,2.619,TRUE,43.495
496,5,5,10,TRUE,TRUE,0.597,TRUE,11.723
499,5,5,10,TRUE,TRUE,0.445,TRUE,7.178
501,5,5,10,TRUE,TRUE,0.322,TRUE,6.906
506,5,5,10,TRUE,TRUE,0.395,TRUE,3.826
507,5,5,10,TRUE,TRUE,0.586,TRUE,10.909
508,5,5,10,TRUE,TRUE,3.147,TRUE,6.885
510,5,5,10,TRUE,TRUE,0.479,TRUE,4.261
511,5,5,10,TRUE,TRUE,0.397,TRUE,2.747
512,5,5,10,TRUE,TRUE,0.54,TRUE,5.257
513,5,5,10,TRUE,TRUE,0.408,TRUE,2.271
514,5,5,10,TRUE,TRUE,0.442,TRUE,2.915
53,5,5,10,TRUE,TRUE,0.93,FALSE,120.02
54,5,5,10,TRUE,TRUE,6.123,TRUE,27.631
55,5,5,10,TRUE,TRUE,6.329,FALSE,120.012
58,5,5,10,TRUE,TRUE,3.493,TRUE,43.479
62,5,5,10,TRUE,TRUE,8.879,FALSE,120.013
63,5,5,10,TRUE,TRUE,7.068,FALSE,120.015
64,5,5,10,TRUE,TRUE,10.693,FALSE,120.015
65,5,5,10,TRUE,TRUE,5.845,FALSE,120.014
116,5,5,20,TRUE,TRUE,0.597,TRUE,3.319
117,5,5,20,FALSE,TRUE,2.301,TRUE,21.857
118,5,5,20,TRUE,TRUE,0.773,TRUE,12.816
121,5,5,20,TRUE,TRUE,2.726,TRUE,1.107
123,5,5,20,FALSE,TRUE,28.714,FALSE,120.013
124,5,5,20,TRUE,TRUE,0.394,TRUE,3.658
125,5,5,20,TRUE,TRUE,0.685,TRUE,0.701
126,5,5,20,TRUE,TRUE,0.407,TRUE,2.593
128,5,5,20,TRUE,TRUE,0.378,TRUE,1.284
129,5,5,20,TRUE,TRUE,1.096,TRUE,16.946
133,5,5,20,TRUE,TRUE,0.678,TRUE,2.04
137,5,5,20,TRUE,TRUE,1.631,TRUE,5.56
138,5,5,20,TRUE,TRUE,1.818,TRUE,2.213
139,5,5,20,TRUE,TRUE,1.142,TRUE,0.997
140,5,5,20,TRUE,TRUE,0.555,TRUE,3.068
192,5,5,20,TRUE,TRUE,0.492,TRUE,7.642
193,5,5,20,TRUE,TRUE,1.719,TRUE,8.864
196,5,5,20,TRUE,TRUE,0.638,TRUE,20.508
